file	published_at	row_count	content_sha1	format_version
feeds.tsv	2026-06-13 18:39:32	14	7f04a7eb5a405f9d89f07ea102513b5729b538e4	1
items.tsv	2026-06-13 13:54:15	255	af364ca5cc89ce90c28b51405391a05f27e76bed	1
youtube.tsv	2026-06-14 01:03:23	200	a8a4fd5bab717b7cc4009a59522a8601ccc23acd	1
announcements.json	2026-06-13 19:16:19	8	75a55ff447822c75a451151927085a743b614e50	1
items_KO.tsv	2026-06-17 23:07:26	666	dc55027078a59178e27a859b283e230583d82816	1
items_EN.tsv	2026-06-17 23:07:26	666	1e51ea9bc8c9264547f765c50bb9ee7dcf5e270e	1
items_ZH.tsv	2026-06-17 23:07:26	666	4f7052d6e4c508c14b2c878e26fd2c7cd12a7b40	1
items_ZHT.tsv	2026-06-17 23:07:26	666	c10dfadf2a63b0d35726296cf66347daf6f0b6c6	1
items_JA.tsv	2026-06-17 23:07:26	666	3c4749a848498da49a41f54964147f2f00fa6167	1
items_DE.tsv	2026-06-17 23:07:26	666	7681ecbd93f3254e7785dee8601485a2694298ed	1
items_FR.tsv	2026-06-17 23:07:26	666	8df57550f045aa7b34c99084694fd00499d7bfb3	1
items_ES.tsv	2026-06-17 23:07:26	666	396210437141a13e8c2d4259983683c1014612a5	1
items_AR.tsv	2026-06-17 23:07:26	666	2a92c0cb3fa2c44b41391afc6b2e15c3368dbc6e	1
items_RU.tsv	2026-06-17 23:07:26	666	77184d29b91b014c9c948343714865c11c671117	1
items_PT.tsv	2026-06-17 23:07:26	666	a89922597f8989293ba44cfab9e10ce8a28ff4dc	1
