feed_url	site_name	lang	feed_kind	title	item_url	published
	FILM	KO	YOUTUBE	[성경이야기 086] 가나에서의 결혼식, CBS 성경동화	https://www.youtube.com/watch?v=cFSRvPRva5Y	
	FILM	KO	YOUTUBE	성경이야기 묵상찬양 / 가나 혼인잔치 Let the Miracle Begin | The Wedding at Cana : Water Turned into Wine	https://www.youtube.com/watch?v=PPLzsmgEJ80	
	FILM	EN	YOUTUBE	Teaching With The Chosen: Jesus and the Wedding of Cana, John 2:1-11	https://www.youtube.com/watch?v=H3R0Mkx8rrc	
	STUDY	EN	YOUTUBE	Jesus Turns Water Into Wine | Wedding At Cana | AI Animation	https://www.youtube.com/watch?v=n6LcOJM9llg	
	STUDY	EN	YOUTUBE	What Does Cana Mean In The Bible? | Holy Landmarks	https://www.youtube.com/watch?v=C7eSu-cxvq8	
	STUDY	EN	YOUTUBE	The HIDDEN meaning behind the Wedding at Cana in the Bible | Sam Shamoun	https://www.youtube.com/watch?v=oDD9j6y9JnU	
	SERMON	KO	YOUTUBE	오난은 질외사정 때문에 하나님의 심판을 받았을까? (창세기 38:8-9)	https://www.youtube.com/watch?v=8MteXKoIKXE	
	SERMON	KO	YOUTUBE	창세기 강해 54 - 땅에 설정한 오난의 죽음	https://www.youtube.com/watch?v=syiepQpDCRQ	
	SERMON	EN	YOUTUBE	Ep 62. Genesis 38: Judah & Tamar: God Redeems Wicked Schemes	https://www.youtube.com/watch?v=hXkB4ucoKtk	
	SERMON	EN	YOUTUBE	Why did God kill Onan?	https://www.youtube.com/watch?v=nnhcQJjHAQQ	
	SERMON	EN	YOUTUBE	Why Did God Kill Onan?	https://www.youtube.com/watch?v=JgNMdZnwl98	
	SERMON	EN	YOUTUBE	218. What Was Onan's Sin?	https://www.youtube.com/watch?v=xciPY-hR3QU	
	SERMON	KO	YOUTUBE	창 38:2 수아의 딸과 결혼한 유다  2023 08 26 14 18 08	https://www.youtube.com/watch?v=55uQLk4n0lo	
	SERMON	KO	YOUTUBE	민수기 4장 - 사명 감당할 때와 그 후에 취할 태도	https://www.youtube.com/watch?v=V98yNjXlRw4	
	SERMON	KO	YOUTUBE	민수기 29:12-40 | 사랑과 은혜가 풍성하신 우리 아버지 | 한정민 목사 (5/16/2023)	https://www.youtube.com/watch?v=LPnKUAM8PQo	
	SERMON	KO	YOUTUBE	민수기 4장 29~33절 (므라리 자손의 성직)	https://www.youtube.com/watch?v=Ng7tJtLD9O4	
	SERMON	EN	YOUTUBE	Numbers 4:29-33 Duties of the Sons of Merari	https://www.youtube.com/watch?v=vgdCdN4SKHw	
	SERMON	KO	YOUTUBE	3분설교 | 민수기21:4-9 "놋뱀" 한남제일교회 오창우목사 220731	https://www.youtube.com/watch?v=EZT45MYqBgk	
	SERMON	KO	YOUTUBE	[새문안교회 이상학목사 민수기 묵상(25)] 물린 자마다 그것을 보면 살리라 (민수기 21:4~9)	https://www.youtube.com/watch?v=CVs0x9eRKfQ	
	SERMON	EN	YOUTUBE	Who Oversaw the Service of the Gershonites? [Numbers 4:21-28][Lesson 17][WTTB]	https://www.youtube.com/watch?v=8YCsAXX0fGI	
	SERMON	KO	YOUTUBE	2023년1월6일/금새벽/​​민수기 4:1-16/'초심'/금운섭 목사	https://www.youtube.com/watch?v=S4gL2dMIvts	
	SERMON	KO	YOUTUBE	[#매일성경큐티] ㅣ 1월 6일 (금)ㅣ#민수기 4장 1-33 "거룩한 노동" [10분 말씀나눔]	https://www.youtube.com/watch?v=opiMON3Ccqs	
	SERMON	KO	YOUTUBE	민수기 4장 1절-33절, 그들이 죽으리라 - #매일성경 #큐티 #새벽설교	https://www.youtube.com/watch?v=J3m5Fzb053M	
	SERMON	EN	YOUTUBE	Who Oversaw the Service of the Merarites? [Numbers 4:29-33][Lesson 18][WTTB]	https://www.youtube.com/watch?v=UUUO0dhWMbQ	
	SERMON	KO	YOUTUBE	2023년5월4일/목새벽/​​​​​​​​민수기 22:21-35/'​​​​​나귀보다 못한 발람​​’/최명길목사	https://www.youtube.com/watch?v=-hJ0HOFXpt4	
	FILM	KO	YOUTUBE	[성경이야기 055] 골리앗에 맞선 다윗, CBS 성경동화	https://www.youtube.com/watch?v=6zmdP598SMg	
	FILM	KO	YOUTUBE	[감자공주의 성경동화] 다윗과 골리앗	https://www.youtube.com/watch?v=_d7uKOi3IOg	
	FILM	KO	YOUTUBE	슈퍼북 | 다윗과 골리앗 ★책으로도 만나보세요!★	https://www.youtube.com/watch?v=_EL-1J6O7b8	
	FILM	EN	YOUTUBE	David and Goliath | Popular Bible Stories I Holy Tales - Children's Bible Stories |Animated Cartoons	https://www.youtube.com/watch?v=TSEkqCXNePM	2026-06-06
	WORSHIP	KO	YOUTUBE	[성경탐구]인류 최초의 살인자 가인이 2026년 우리에게 보내는 소름 돋는 경고	https://www.youtube.com/watch?v=HQuE-xDYVkQ	2026-06-06
	FILM	KO	YOUTUBE	[내사랑성경 18편] 구원받은 라합	https://www.youtube.com/watch?v=UhbWk4M4x3M	2026-06-06
	FILM	KO	YOUTUBE	[구약] 41. 라합 @두란노 이야기성경 Day 26	https://www.youtube.com/watch?v=O1hYxEtykjg	2026-06-06
	STUDY	KO	YOUTUBE	가나안 족속들을 쫓아내지 못했는가, 쫓아내지 않았는가?(사사기 1장 27절), NIV, 개역성경, 킹제임스 성경 비교 분석 에피소드 5, 정동수 목사	https://www.youtube.com/watch?v=HsMUQccZSb0	
	STUDY	KO	YOUTUBE	가나안 7족속의 비밀, 이스라엘의 적들!	https://www.youtube.com/watch?v=Yn3M_97Z3Z0	
	STUDY	KO	YOUTUBE	[성경 지리] 가나안의 지리적 특징 이해하기 [성경 공부 일독 프로젝트 #26]	https://www.youtube.com/watch?v=pjMWkWHzr6A	
	SERMON	KO	YOUTUBE	[주일오후] 우리가 쫓아내야 할 가나안 일곱 족속의 영적 의미는 무엇인가?(신7:1~5)_동탄명성교회 정병진목사	https://www.youtube.com/watch?v=exPdGMhKD8U	
	STUDY	EN	YOUTUBE	The Concise History of Ancient Canaan and the Canaanite Peoples (c. 7000-539 BC)	https://www.youtube.com/watch?v=F6rs78Sovfc	
	STUDY	EN	YOUTUBE	The Origins of the Canaanites – And the Horrific Gods They Worshipped	https://www.youtube.com/watch?v=Wv5Ba8Ashpc	
	STUDY	EN	YOUTUBE	The Truth About Canaan in the Bible: Canaanites in Biblical Prophecies	https://www.youtube.com/watch?v=2_plLFVemvE	
	STUDY	EN	YOUTUBE	The Canaanites in History and the Bible	https://www.youtube.com/watch?v=ldCWtO8uNjs	
	SERMON	KO	YOUTUBE	[성경지식 한스푼] 베드로와 지역 (벳새다, 가버나움)	https://www.youtube.com/watch?v=kNxhH7lCjm0	
	FILM	KO	YOUTUBE	[성경이야기 071] 물고기 뱃속에 들어간 요나, CBS 성경동화	https://www.youtube.com/watch?v=LRrQLvaA4hA	2026-06-06
	SERMON	KO	YOUTUBE	매일성경 [레위기 5장 14절 - 6장 7절] / 매일성경묵상 / 메시지성경 / 김기웅목사 / 말읽목	https://www.youtube.com/watch?v=G60wqkIHDy4	
	SERMON	KO	YOUTUBE	매일성경 [말씀 묵상 큐티 #레] 레위기 5장 14절~6장 7절	https://www.youtube.com/watch?v=Ea76PDOjQX0	
	SERMON	EN	YOUTUBE	Leviticus 5 & 6: Guilt - Trespass Offering | Visual Bible | Lev 5: 14-19 & 6:1-7 | Forgiveness	https://www.youtube.com/watch?v=vsW6rgAvLxY	
	SERMON	EN	YOUTUBE	What Was the Trespass Offering That Was To Be Offered To God? [Leviticus 5:14-19][Lesson 14][WTTB]	https://www.youtube.com/watch?v=feOfaK1wk9s	
	SERMON	KO	YOUTUBE	[레위기] 5.속죄제 5장 13~14	https://www.youtube.com/watch?v=ZJU53NyEFsw	
	SERMON	KO	YOUTUBE	220401(금) 레위기 5장 5~7	https://www.youtube.com/watch?v=jtrxYkh_dbk	
	SERMON	KO	YOUTUBE	레위기 5장 1절 13절 마음 중심 - 매일성경 큐티 새벽설교	https://www.youtube.com/watch?v=rE9nDg_hNN4	
	FILM	EN	YOUTUBE	Leviticus 5: Poor Man's Sin Offering | Visual Bible 4K (Lev: 1-13) | Sin Offering for the Commoners	https://www.youtube.com/watch?v=mtBCHNyMnHA	
	SERMON	EN	YOUTUBE	Leviticus Chapter 5 Explained (Biblical Justice, Guilt Offerings & Spiritual Responsibility)	https://www.youtube.com/watch?v=JsQ5BWkrkPY	
	SERMON	KO	YOUTUBE	레위기4장 "속죄제" 성경한장	https://www.youtube.com/watch?v=alADJ3hNgCo	
	SERMON	KO	YOUTUBE	레위기 4:1-12 삼일교회	https://www.youtube.com/watch?v=mSI3JZ_Pmv8	
	SERMON	KO	YOUTUBE	레위기 4장 1~21절 주의숲교회	https://www.youtube.com/watch?v=tINqnhHwhkk	
	SERMON	EN	YOUTUBE	Leviticus 4: 1-35 Offerings for unintentional sins	https://www.youtube.com/watch?v=u-rluC2OFjs	
	SERMON	KO	YOUTUBE	레위기3장 "화목제" -성경한장	https://www.youtube.com/watch?v=dRT0MfuLSPI	
	SERMON	KO	YOUTUBE	레위기 3:1~17 화목제의 의미 - 박성민목사	https://www.youtube.com/watch?v=Nexjib9zYjE	
	SERMON	KO	YOUTUBE	레위기 3장 1~17절 - 주의숲교회	https://www.youtube.com/watch?v=GdJE8YemP5g	
	SERMON	EN	YOUTUBE	Leviticus 3 - Laws for Peace Offerings | Bible Podcast, David Alley, Peace Christian Church	https://www.youtube.com/watch?v=FFH7KuxF13M	
	SERMON	EN	YOUTUBE	Leviticus 3:1-17 The Law Of Peace Offerings	https://www.youtube.com/watch?v=_8M7JEgzzM0	
	SERMON	KO	YOUTUBE	레위기 2:1-16 오웅식 - 100주년기념교회	https://www.youtube.com/watch?v=Frvnwh0tWms	
	SERMON	KO	YOUTUBE	레위기2장 "소제" - 성경한장	https://www.youtube.com/watch?v=L8c8NMAPkxE	
	SERMON	KO	YOUTUBE	레위기 2장 1~16절 - 주의숲교회	https://www.youtube.com/watch?v=1jPHmvNNgaQ	
	SERMON	KO	YOUTUBE	레위기1장 "번제" - 성경한장	https://www.youtube.com/watch?v=KpeJz3uOZRo	
	SERMON	KO	YOUTUBE	레위기 1장 1절 17절 거룩한 산 제물이 되어 - 매일성경큐티	https://www.youtube.com/watch?v=Aka7LpK8HUs	
	SERMON	KO	YOUTUBE	레위기 1장 1~17절 - 주의숲교회	https://www.youtube.com/watch?v=Osbh7IMhFH0	
	SERMON	KO	YOUTUBE	출애굽기 40장 34~38절- 동네형QT	https://www.youtube.com/watch?v=a9j7uqVOixU	
	SERMON	KO	YOUTUBE	출애굽기 40:34~38 -새문안교회	https://www.youtube.com/watch?v=9Fsp9PMaEVA	
	SERMON	KO	YOUTUBE	출애굽기 40장 "출애굽기의 결론: 임마누엘" - 성경한장	https://www.youtube.com/watch?v=50vLsoWt8j0	
	SERMON	KO	YOUTUBE	출애굽기 40:1~16 관유를 발라 거룩하게 하라-큐티인	https://www.youtube.com/watch?v=DV9GwRP0uqk	
	SERMON	KO	YOUTUBE	출애굽기 39장 32~43절 (성막의 완성의 의미) - 광야교회	https://www.youtube.com/watch?v=BRETMhBK4mk	
	SERMON	KO	YOUTUBE	출애굽기 39장 32절-43절 세상의 빛 이레교회	https://www.youtube.com/watch?v=K_cBi57Tq-0	
	SERMON	KO	YOUTUBE	출애굽기 39장 22~31절 [예배자의 정체성, 여호와께 성결]-동네형	https://www.youtube.com/watch?v=DDmF13JnfMc	
	SERMON	KO	YOUTUBE	출애굽기 39장 22~43절 - 주의숲교회	https://www.youtube.com/watch?v=5HytTjhei1A	
	SERMON	KO	YOUTUBE	출애굽기 39장 22-43절 - 말읽목	https://www.youtube.com/watch?v=Y_hGSktAskQ	
	SERMON	KO	YOUTUBE	출애굽기 39:1-21｜여호와께서 명령하신 대로｜김양재 목사	https://www.youtube.com/watch?v=hzo_spCQ_N0	
	SERMON	KO	YOUTUBE	출애굽기 39장 32~43절 [순종으로 완성된 성막, 모세를 통한 주님의 축복] -동네형QT	https://www.youtube.com/watch?v=5OyNXsKySek	
	SERMON	KO	YOUTUBE	출애굽기 39장 1-21절 대제사장의 옷, 에봇과 흉패│방석진목사	https://www.youtube.com/watch?v=QZtHe1wcQLI	
	SERMON	KO	YOUTUBE	출애굽기 39장 32 ~ 43절_왕림교회	https://www.youtube.com/watch?v=No_MIrmLBws	
	SERMON	KO	YOUTUBE	출애굽기39장1-21 성막의요약제사장옷	https://www.youtube.com/watch?v=KxQRjk6UVnc	
	SERMON	KO	YOUTUBE	출애굽기 39장ㅣ할렐루야교회	https://www.youtube.com/watch?v=FkcHdNMlUao	
	SERMON	KO	YOUTUBE	출애굽기 38장 21절-31절, 아낌없이 드립니다	https://www.youtube.com/watch?v=s2Y-7TWZHiQ	
	SERMON	KO	YOUTUBE	출애굽기 38장 21절-31절 | 세상의 빛 이레교회	https://www.youtube.com/watch?v=6-iASO5QHoY	
	SERMON	KO	YOUTUBE	출애굽기 38장 9~20절 (성막 뜰과 성막 벽)	https://www.youtube.com/watch?v=OzmR7-CkuZI	
	SERMON	KO	YOUTUBE	출애굽기 38:1-20 "온전한 희생 & 온전한 항복"	https://www.youtube.com/watch?v=Fq8CMPWLk0o	
	SERMON	KO	YOUTUBE	출애굽기 38장 "번제단, 놋 물두멍, 성막의 울타리를 만들다"	https://www.youtube.com/watch?v=maaIi4fr0aE	
	SERMON	KO	YOUTUBE	출애굽기 38장 1~20절 [사소해 보이는 대도 ‘하나님 방법대로’]	https://www.youtube.com/watch?v=QrbZibhmhDo	
	SERMON	KO	YOUTUBE	출애굽기 38장 1-20절 번제단, 물두멍, 성막 울타리	https://www.youtube.com/watch?v=bwgobq9sWTE	
	SERMON	KO	YOUTUBE	출애굽기 37장 17~24절 (등잔대 완성)	https://www.youtube.com/watch?v=YUDOXo14SvY	
	SERMON	KO	YOUTUBE	출애굽기37장17-29 등잔대와분향단의미	https://www.youtube.com/watch?v=L8V9WV5ByU4	
	SERMON	KO	YOUTUBE	출애굽기 37장 17~29절 [실행 과정에서 기억할 명령, 하나님 방법대로 ]	https://www.youtube.com/watch?v=cbVSGjLdR4M	
	SERMON	KO	YOUTUBE	출애굽기 37장 "예수님의 가구들"	https://www.youtube.com/watch?v=cB7-vCxy_Qc	
	SERMON	KO	YOUTUBE	출애굽기 37장 "언약궤, 진설병상, 등잔대, 분향단을 만들다"-성경한장	https://www.youtube.com/watch?v=F0SHWY5E6X8	
	SERMON	KO	YOUTUBE	출애굽기 37장 1~16절 [공동체는 동역으로, 개개인은 충성으로]	https://www.youtube.com/watch?v=QWrK5hDxdpg	
	SERMON	KO	YOUTUBE	출애굽기 37장 1절-16절 | 세상의 빛 이레교회	https://www.youtube.com/watch?v=sEyKIZcIIyo	
	SERMON	KO	YOUTUBE	출애굽기 37장 1-29절 - 말읽목	https://www.youtube.com/watch?v=Mo5hv3BTdgY	
	SERMON	KO	YOUTUBE	출애굽기 36-37장 | 정금으로 안팎을 싸고	https://www.youtube.com/watch?v=dxcsBgEAak4	
	SERMON	KO	YOUTUBE	출애굽기 36장 2~7절 (차고 넘치는 예물)	https://www.youtube.com/watch?v=pfM4YjZYT8c	
	SERMON	KO	YOUTUBE	출애굽기 36:20~38 벽과 기둥을 견고히 세우다	https://www.youtube.com/watch?v=A_OmO0K_nJo	
	SERMON	KO	YOUTUBE	출애굽기 36:20-38｜성막의 골격을 세우다｜김양재 목사	https://www.youtube.com/watch?v=Wv9Z3uJOS1w	
	SERMON	KO	YOUTUBE	출애굽기 36장 전능자의 그늘 아래 -김형일 목사	https://www.youtube.com/watch?v=nLeeW4zYk_M	
	SERMON	KO	YOUTUBE	출애굽기 36:8-19 두 휘장과 두 덮개 - 김양재 목사	https://www.youtube.com/watch?v=2JDtRivUnAI	
	SERMON	KO	YOUTUBE	출애굽기 36장 8-38절 성막 덮는 천막, 뼈대인 널판 - 방석진목사	https://www.youtube.com/watch?v=hlyXnCifrpo	
	SERMON	KO	YOUTUBE	출애굽기 36장 "성막의 제작"	https://www.youtube.com/watch?v=Iv94TgJfw0c	
	SERMON	KO	YOUTUBE	출애굽기 36장 1절 (지혜로운 마음 가진 자들에게)	https://www.youtube.com/watch?v=kwH5EHARXr4	
	SERMON	KO	YOUTUBE	출애굽기 36장 1-7절 - 와플터치	https://www.youtube.com/watch?v=vWmEoKBNA9k	
	SERMON	KO	YOUTUBE	출애굽기 35장 30~36장 7절 지명해 부르신 분이 감당할 능력도 주십니다르심-동네형QT	https://www.youtube.com/watch?v=6HlqEf6OPZY	
	SERMON	KO	YOUTUBE	출애굽기 35장 20~29 마음이 감동된 자, 자원하는 자 / 김성우 목사(강변동숭교회)	https://www.youtube.com/watch?v=rZ5AhlFJbHM	
	SERMON	KO	YOUTUBE	출애굽기 35장 20 29절 어디에 가치를 두는가 조덕남목사	https://www.youtube.com/watch?v=QibTiT085Hg	
	SERMON	KO	YOUTUBE	출애굽기 35장 20~29절 [은혜받은 이의 응답, 열성적 헌신과 순종]수	https://www.youtube.com/watch?v=TkcyFdmj7Zw	
	SERMON	KO	YOUTUBE	출애굽기 35:1-19 "쉼과 섬김" [10분 말씀나눔]	https://www.youtube.com/watch?v=SbHWHo8tHCM	
	SERMON	KO	YOUTUBE	출애굽기 35:30-36:7 "자원해야 할때 입니다."	https://www.youtube.com/watch?v=NCm87bBSwAU	
	SERMON	KO	YOUTUBE	출애굽기 35:20-29｜회막을 짓기 위하여｜김양재 목사	https://www.youtube.com/watch?v=Th3JXuOgN-4	
	SERMON	KO	YOUTUBE	출애굽기 35:1-19｜안식일과 성막｜김양재 목사	https://www.youtube.com/watch?v=8b7N_Qr6tUQ	
	SERMON	KO	YOUTUBE	출애굽기35장 "성막은 먼저는 마음에 세우는 것이다" - 성경한장	https://www.youtube.com/watch?v=coy4yoR-H6Q	
	SERMON	KO	YOUTUBE	출애굽기 34장 10 17절 왜 이렇게 자주 말씀하시는가 조덕남목사	https://www.youtube.com/watch?v=vYBTvw1NMxA	
	SERMON	KO	YOUTUBE	출애굽기 34장 10~26일 [하나님 언약을 지키면 하나님이 지켜 주십니다	https://www.youtube.com/watch?v=53RAOORzR1k	
	SERMON	KO	YOUTUBE	출애굽기 34:1-17 백주년기념교회 오웅식	https://www.youtube.com/watch?v=YvSLdBvU1VA	
	SERMON	KO	YOUTUBE	출애굽기 34장 1~17절	https://www.youtube.com/watch?v=RShNmmyE0bw	
	SERMON	KO	YOUTUBE	출애굽기 34:1~17 다시 돌판을 만들라	https://www.youtube.com/watch?v=IYAAm4J_Jyc	
	SERMON	KO	YOUTUBE	출애굽기 33장 12-23절 말읽목	https://www.youtube.com/watch?v=3Sif5vRMMj0	
	SERMON	KO	YOUTUBE	출애굽기 33장 12~23절	https://www.youtube.com/watch?v=R7QRpLtRh48	
	SERMON	KO	YOUTUBE	출애굽기 33:7-23 / 내가 친히 가리라 (말씀: 손석구 박사)	https://www.youtube.com/watch?v=PWlarKezxuM	
	SERMON	KO	YOUTUBE	출애굽기 33장 12~23절 [하나님이 함께하심이 진정한 은총입니다]	https://www.youtube.com/watch?v=NpvhKzk6CWk	
	SERMON	KO	YOUTUBE	출애굽기 33:1-11｜친구와 이야기함같이｜김양재 목사	https://www.youtube.com/watch?v=pfWyp7vRZX8	
	SERMON	KO	YOUTUBE	출애굽기 33장 1~11절 주님 앞에 겸비함이 죄인의 소망입니다	https://www.youtube.com/watch?v=sC0vyOIrsZ4	
	SERMON	KO	YOUTUBE	출애굽기31장 "성령 충만함은 순종할 수 있는 능력이다"	https://www.youtube.com/watch?v=iQGsVohgVBI	
	SERMON	KO	YOUTUBE	출애굽기 31장 1-18절 말읽목	https://www.youtube.com/watch?v=72gXDnMLMoI	
	SERMON	KO	YOUTUBE	출애굽기 31장 12~17절 성막과 안식일 양승언목사	https://www.youtube.com/watch?v=kI5MQFbFGPo	
