feed_url	site_name	lang	feed_kind	title	item_url	published	collected
	East End church of Christ	ZH	YOUTUBE	ما هي الأرض التي أُعطيت لسبط بنيامين؟ | يشوع ١٨: ١-٢٨ | الدرس ٢٣	https://www.youtube.com/watch?v=xzuS6MsjZV0	2023-05-03	2026-06-14
	The Covenant Churches NZ	ZH	YOUTUBE	من بن أوني إلى بنيامين: مشاركة كيو تي، 16 أكتوبر 2022، سفر التكوين 35: 16-29	https://www.youtube.com/watch?v=lM70R5ntLv0	2022-10-15	2026-06-14
	알럽바이블	KO	YOUTUBE	[قصة الكتاب المقدس 086] عرس قانا، قصة الكتاب المقدس من سي بي إس	https://www.youtube.com/watch?v=cFSRvPRva5Y	2023-01-11	2023-01-11
	다윗의시	KO	YOUTUBE	تأملات وتسبيحات مستوحاة من قصة الكتاب المقدس / عرس قانا: لتبدأ المعجزة | عرس قانا: تحول الماء إلى خمر	https://www.youtube.com/watch?v=PPLzsmgEJ80	2026-04-12	2026-04-12
	John Hilton III	EN	YOUTUBE	التعليم مع المختارين: يسوع وعرس قانا، يوحنا 2: 1-11	https://www.youtube.com/watch?v=H3R0Mkx8rrc	2022-12-14	2022-12-14
	Animated Biblical Tales	EN	YOUTUBE	يسوع يحوّل الماء إلى خمر | عرس قانا | رسوم متحركة بالذكاء الاصطناعي	https://www.youtube.com/watch?v=n6LcOJM9llg	2025-06-26	2025-06-26
	Holy Landmarks	EN	YOUTUBE	ماذا تعني قانا في الكتاب المقدس؟ | المعالم المقدسة	https://www.youtube.com/watch?v=C7eSu-cxvq8	2025-08-19	2025-08-19
	Shamounian Explains	EN	YOUTUBE	المعنى الخفي وراء عرس قانا في الكتاب المقدس | سام شمعون	https://www.youtube.com/watch?v=oDD9j6y9JnU	2024-08-09	2024-08-09
	영광장로교회	KO	YOUTUBE	هل نال أونان عقاب الله بسبب انسحابه؟ (تكوين 38: 8-9)	https://www.youtube.com/watch?v=8MteXKoIKXE	2023-01-11	2023-01-11
	베들레헴 떡집	KO	YOUTUBE	شرح سفر التكوين ٥٤ - موت عونان: الاستقرار على الأرض	https://www.youtube.com/watch?v=syiepQpDCRQ	2021-06-26	2021-06-26
	The Bible Show	EN	YOUTUBE	الحلقة 62. سفر التكوين 38: يهوذا وثامار: الله يُنقذ المكائد الشريرة	https://www.youtube.com/watch?v=hXkB4ucoKtk	2025-08-20	2025-08-20
	Dan McClellan	EN	YOUTUBE	لماذا قتل الله أونان؟	https://www.youtube.com/watch?v=nnhcQJjHAQQ	2024-06-17	2024-06-17
	Dan McClellan	EN	YOUTUBE	لماذا قتل الله أونان؟	https://www.youtube.com/watch?v=JgNMdZnwl98	2023-04-21	2023-04-21
	Christianity Still Makes Sense	EN	YOUTUBE	218. ما هي خطيئة أونان؟	https://www.youtube.com/watch?v=xciPY-hR3QU	2013-02-13	2013-02-13
	성경김승호	KO	YOUTUBE	تكوين ٣٨: ٢ تزوج يهوذا ابنة شوع ٢٠٢٣ ٠٨ ٢٦ ١٤ ١٨ ٠٨	https://www.youtube.com/watch?v=55uQLk4n0lo	2023-08-26	2023-08-26
	정진용 목사의 말들아 - 말씀묵상 채널	KO	YOUTUBE	سفر العدد، الإصحاح الرابع - الموقف الواجب اتخاذه عند إنجاز المهمة وبعدها	https://www.youtube.com/watch?v=V98yNjXlRw4	2022-05-29	2026-06-05
	와싱톤중앙장로교회	KO	YOUTUBE	العدد ٢٩: ١٢-٤٠ | أبانا الغني بالمحبة والنعمة | القس هان جيونغ مين (١٦/٥/٢٠٢٣)	https://www.youtube.com/watch?v=LPnKUAM8PQo	2023-05-16	2026-06-05
	광야교회 / 김 찬제 목사 / 강해설교	KO	YOUTUBE	الأعداد 4: 29-33 (كهنوت نسل ميراري)	https://www.youtube.com/watch?v=Ng7tJtLD9O4	2024-04-18	2026-06-05
	Sharon RP Church	EN	YOUTUBE	سفر العدد 4: 29-33 واجبات أبناء مراري	https://www.youtube.com/watch?v=vgdCdN4SKHw	2024-02-08	2026-06-05
	한남제일교회	KO	YOUTUBE	عظة مدتها 3 دقائق | سفر العدد 21: 4-9 "الحية النحاسية" القس تشانغ وو أوه، كنيسة هانام جيل 220731	https://www.youtube.com/watch?v=EZT45MYqBgk	2022-08-06	2026-06-05
	새문안교회	KO	YOUTUBE	[تأمل في سفر العدد بقلم القس لي سانغ هاك من كنيسة سايمونان (25)] كل من لدغته عين ونظر إليها يحيا (سفر العدد 21: 4-9)	https://www.youtube.com/watch?v=CVs0x9eRKfQ	2021-02-19	2026-06-05
	East End church of Christ	EN	YOUTUBE	من أشرف على خدمة الجرشونيين؟ [العدد 4: 21-28] [الدرس 17] [WTTB]	https://www.youtube.com/watch?v=8YCsAXX0fGI	2020-11-29	2026-06-05
