feed_url	site_name	lang	feed_kind	title	item_url	published	collected
	East End church of Christ	ZH	YOUTUBE	Welches Land wurde dem Stamm Benjamin gegeben? | Josua 18,1–28 | Lektion 23	https://www.youtube.com/watch?v=xzuS6MsjZV0	2023-05-03	2026-06-14
	The Covenant Churches NZ	ZH	YOUTUBE	Von Ben-Oni zu Benjamin: QT Sharing, 16. Oktober 2022, Genesis 35:16-29	https://www.youtube.com/watch?v=lM70R5ntLv0	2022-10-15	2026-06-14
	알럽바이블	KO	YOUTUBE	[Bibelgeschichte 086] Die Hochzeit zu Kana, CBS-Bibelgeschichte	https://www.youtube.com/watch?v=cFSRvPRva5Y	2023-01-11	2023-01-11
	다윗의시	KO	YOUTUBE	Biblische Geschichte: Meditation und Lobpreis / Die Hochzeit zu Kana – Das Wunder beginnt | Die Hochzeit zu Kana: Wasser wird zu Wein	https://www.youtube.com/watch?v=PPLzsmgEJ80	2026-04-12	2026-04-12
	John Hilton III	EN	YOUTUBE	Unterweisung der Auserwählten: Jesus und die Hochzeit zu Kana, Johannes 2,1-11	https://www.youtube.com/watch?v=H3R0Mkx8rrc	2022-12-14	2022-12-14
	Animated Biblical Tales	EN	YOUTUBE	Jesus verwandelt Wasser in Wein | Hochzeit zu Kana | KI-Animation	https://www.youtube.com/watch?v=n6LcOJM9llg	2025-06-26	2025-06-26
	Holy Landmarks	EN	YOUTUBE	Was bedeutet Kana in der Bibel? | Heilige Stätten	https://www.youtube.com/watch?v=C7eSu-cxvq8	2025-08-19	2025-08-19
	Shamounian Explains	EN	YOUTUBE	Die verborgene Bedeutung der Hochzeit zu Kana in der Bibel | Sam Shamoun	https://www.youtube.com/watch?v=oDD9j6y9JnU	2024-08-09	2024-08-09
	영광장로교회	KO	YOUTUBE	Wurde Onan wegen seines Rückzugs von Gott verurteilt? (1. Mose 38,8-9)	https://www.youtube.com/watch?v=8MteXKoIKXE	2023-01-11	2023-01-11
	베들레헴 떡집	KO	YOUTUBE	Auslegung von Genesis 54 – Onans Tod auf Erden	https://www.youtube.com/watch?v=syiepQpDCRQ	2021-06-26	2021-06-26
	The Bible Show	EN	YOUTUBE	Folge 62. Genesis 38: Juda und Tamar: Gott erlöst böse Pläne	https://www.youtube.com/watch?v=hXkB4ucoKtk	2025-08-20	2025-08-20
	Dan McClellan	EN	YOUTUBE	Warum tötete Gott Onan?	https://www.youtube.com/watch?v=nnhcQJjHAQQ	2024-06-17	2024-06-17
	Dan McClellan	EN	YOUTUBE	Warum tötete Gott Onan?	https://www.youtube.com/watch?v=JgNMdZnwl98	2023-04-21	2023-04-21
	Christianity Still Makes Sense	EN	YOUTUBE	218. Was war Onans Sünde?	https://www.youtube.com/watch?v=xciPY-hR3QU	2013-02-13	2013-02-13
	성경김승호	KO	YOUTUBE	Genesis 38:2 Juda heiratete die Tochter Schuas 2023 08 26 14 18 08	https://www.youtube.com/watch?v=55uQLk4n0lo	2023-08-26	2023-08-26
	정진용 목사의 말들아 - 말씀묵상 채널	KO	YOUTUBE	Numeri Kapitel 4 – Die richtige Einstellung bei der Erfüllung der Mission und danach	https://www.youtube.com/watch?v=V98yNjXlRw4	2022-05-29	2026-06-05
	와싱톤중앙장로교회	KO	YOUTUBE	Numeri 29,12-40 | Unser Vater, reich an Liebe und Gnade | Pastor Han Jeong-min (16.05.2023)	https://www.youtube.com/watch?v=LPnKUAM8PQo	2023-05-16	2026-06-05
	광야교회 / 김 찬제 목사 / 강해설교	KO	YOUTUBE	Numeri 4,29–33 (Das Priestertum der Nachkommen Meraris)	https://www.youtube.com/watch?v=Ng7tJtLD9O4	2024-04-18	2026-06-05
	Sharon RP Church	EN	YOUTUBE	Numeri 4,29-33 Aufgaben der Söhne Meraris	https://www.youtube.com/watch?v=vgdCdN4SKHw	2024-02-08	2026-06-05
	한남제일교회	KO	YOUTUBE	3-Minuten-Predigt | Numeri 21,4–9 „Die eherne Schlange“ Pastor Chang-woo Oh, Hannam Jeil Gemeinde 220731	https://www.youtube.com/watch?v=EZT45MYqBgk	2022-08-06	2026-06-05
	새문안교회	KO	YOUTUBE	[Meditation über Numeri von Pfarrer Lee Sang-hak von der Saemunan-Kirche (25)] Jeder, der gebissen wird und es ansieht, wird leben (Numeri 21,4-9).	https://www.youtube.com/watch?v=CVs0x9eRKfQ	2021-02-19	2026-06-05
	East End church of Christ	EN	YOUTUBE	Wer beaufsichtigte den Dienst der Gerschoniter? [4. Mose 4,21-28][Lektion 17][WTTB]	https://www.youtube.com/watch?v=8YCsAXX0fGI	2020-11-29	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	6. Januar 2023 / Früher Morgen / Numeri 4,1-16 / „Die Denkweise eines Anfängers“ / Pastor Geum Woon-seop	https://www.youtube.com/watch?v=S4gL2dMIvts	2023-01-05	2026-06-05
	매일성경 큐티 최신일 목사	KO	YOUTUBE	[#DailyBibleQT] | 6. Januar (Fr.) | #Numeri 4,1-33 „Heilige Arbeit“ [10-minütige Bibellesung]	https://www.youtube.com/watch?v=opiMON3Ccqs	2023-01-05	2026-06-05
	매일성경큐티하기	KO	YOUTUBE	Numeri 4,1-33: Sie werden sterben – #TäglicheBibel #QT #Morgenpredigt	https://www.youtube.com/watch?v=J3m5Fzb053M	2023-01-04	2026-06-05
	East End church of Christ	EN	YOUTUBE	Wer beaufsichtigte den Dienst der Merariter? [4. Mose 4,29-33][Lektion 18][WTTB]	https://www.youtube.com/watch?v=UUUO0dhWMbQ	2020-11-30	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	4. Mai 2023 / Donnerstagmorgen / Numeri 22,21-35 / „Bileam, schlimmer als ein Esel“ / Pastor Choi Myung-gil	https://www.youtube.com/watch?v=-hJ0HOFXpt4	2023-05-03	2026-06-05
	알럽바이블	KO	YOUTUBE	[Bibelgeschichte 055] David gegen Goliath, CBS-Bibelmärchen	https://www.youtube.com/watch?v=6zmdP598SMg	2022-07-13	2022-07-13
	감자공주의 동화나라	KO	YOUTUBE	[Die biblische Geschichte der Kartoffelprinzessin] David und Goliath	https://www.youtube.com/watch?v=_d7uKOi3IOg	2023-06-05	2023-06-05
	CBN KOREA SUPERBOOK	KO	YOUTUBE	Superbuch | David und Goliath ★Auch als Buch erhältlich!★	https://www.youtube.com/watch?v=_EL-1J6O7b8	2021-09-10	2021-09-10
