feed_url	site_name	lang	feed_kind	title	item_url	published	collected
	East End church of Christ	ZH	YOUTUBE	What land was given to the tribe of Benjamin? | Joshua 18:1-28 | Lesson 23	https://www.youtube.com/watch?v=xzuS6MsjZV0	2023-05-03	2026-06-14
	The Covenant Churches NZ	ZH	YOUTUBE	From Ben-Oni to Benjamin: QT Sharing, October 16, 2022, Genesis 35:16-29	https://www.youtube.com/watch?v=lM70R5ntLv0	2022-10-15	2026-06-14
	알럽바이블	KO	YOUTUBE	[Bible Story 086] The Wedding at Cana, CBS Bible Story	https://www.youtube.com/watch?v=cFSRvPRva5Y	2023-01-11	2023-01-11
	다윗의시	KO	YOUTUBE	Bible Story Meditation Praise / The Wedding at Cana Let the Miracle Begin | The Wedding at Cana : Water Turned into Wine	https://www.youtube.com/watch?v=PPLzsmgEJ80	2026-04-12	2026-04-12
	John Hilton III	EN	YOUTUBE	Teaching With The Chosen: Jesus and the Wedding of Cana, John 2:1-11	https://www.youtube.com/watch?v=H3R0Mkx8rrc	2022-12-14	2022-12-14
	Animated Biblical Tales	EN	YOUTUBE	Jesus Turns Water Into Wine | Wedding At Cana | AI Animation	https://www.youtube.com/watch?v=n6LcOJM9llg	2025-06-26	2025-06-26
	Holy Landmarks	EN	YOUTUBE	What Does Cana Mean In The Bible? | Holy Landmarks	https://www.youtube.com/watch?v=C7eSu-cxvq8	2025-08-19	2025-08-19
	Shamounian Explains	EN	YOUTUBE	The HIDDEN meaning behind the Wedding at Cana in the Bible | Sam Shamoun	https://www.youtube.com/watch?v=oDD9j6y9JnU	2024-08-09	2024-08-09
	영광장로교회	KO	YOUTUBE	Did Onan receive God's judgment because of withdrawal? (Genesis 38:8-9)	https://www.youtube.com/watch?v=8MteXKoIKXE	2023-01-11	2023-01-11
	베들레헴 떡집	KO	YOUTUBE	Exposition of Genesis 54 - Onan's Death Established on Earth	https://www.youtube.com/watch?v=syiepQpDCRQ	2021-06-26	2021-06-26
	The Bible Show	EN	YOUTUBE	Ep 62. Genesis 38: Judah & Tamar: God Redeems Wicked Schemes	https://www.youtube.com/watch?v=hXkB4ucoKtk	2025-08-20	2025-08-20
	Dan McClellan	EN	YOUTUBE	Why did God kill Onan?	https://www.youtube.com/watch?v=nnhcQJjHAQQ	2024-06-17	2024-06-17
	Dan McClellan	EN	YOUTUBE	Why Did God Kill Onan?	https://www.youtube.com/watch?v=JgNMdZnwl98	2023-04-21	2023-04-21
	Christianity Still Makes Sense	EN	YOUTUBE	218. What Was Onan's Sin?	https://www.youtube.com/watch?v=xciPY-hR3QU	2013-02-13	2013-02-13
	성경김승호	KO	YOUTUBE	Genesis 38:2 Judah Married the Daughter of Shua 2023 08 26 14 18 08	https://www.youtube.com/watch?v=55uQLk4n0lo	2023-08-26	2023-08-26
	정진용 목사의 말들아 - 말씀묵상 채널	KO	YOUTUBE	Numbers Chapter 4 - The Attitude to Take When Fulfilling the Mission and Afterward	https://www.youtube.com/watch?v=V98yNjXlRw4	2022-05-29	2026-06-05
	와싱톤중앙장로교회	KO	YOUTUBE	Numbers 29:12-40 | Our Father, Rich in Love and Grace | Rev. Han Jeong-min (5/16/2023)	https://www.youtube.com/watch?v=LPnKUAM8PQo	2023-05-16	2026-06-05
	광야교회 / 김 찬제 목사 / 강해설교	KO	YOUTUBE	Numbers 4:29–33 (The Priesthood of the Descendants of Merari)	https://www.youtube.com/watch?v=Ng7tJtLD9O4	2024-04-18	2026-06-05
	Sharon RP Church	EN	YOUTUBE	Numbers 4:29-33 Duties of the Sons of Merari	https://www.youtube.com/watch?v=vgdCdN4SKHw	2024-02-08	2026-06-05
	한남제일교회	KO	YOUTUBE	3-Minute Sermon | Numbers 21:4-9 "The Bronze Serpent" Rev. Chang-woo Oh, Hannam Jeil Church 220731	https://www.youtube.com/watch?v=EZT45MYqBgk	2022-08-06	2026-06-05
	새문안교회	KO	YOUTUBE	[Meditation on Numbers by Rev. Lee Sang-hak of Saemunan Church (25)] Everyone bitten who looks at it shall live (Numbers 21:4-9)	https://www.youtube.com/watch?v=CVs0x9eRKfQ	2021-02-19	2026-06-05
	East End church of Christ	EN	YOUTUBE	Who Oversaw the Service of the Gershonites? [Numbers 4:21-28][Lesson 17][WTTB]	https://www.youtube.com/watch?v=8YCsAXX0fGI	2020-11-29	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	January 6, 2023 / Early Morning / Numbers 4:1-16 / 'Beginner's Mind' / Pastor Geum Woon-seop	https://www.youtube.com/watch?v=S4gL2dMIvts	2023-01-05	2026-06-05
	매일성경 큐티 최신일 목사	KO	YOUTUBE	[#DailyBibleQT] | January 6 (Fri) | #Numbers 4:1-33 "Holy Labor" [10-Minute Scripture Sharing]	https://www.youtube.com/watch?v=opiMON3Ccqs	2023-01-05	2026-06-05
	매일성경큐티하기	KO	YOUTUBE	Numbers 4:1-33, They Shall Die - #DailyBible #QT #MorningSermon	https://www.youtube.com/watch?v=J3m5Fzb053M	2023-01-04	2026-06-05
	East End church of Christ	EN	YOUTUBE	Who Oversaw the Service of the Merarites? [Numbers 4:29-33][Lesson 18][WTTB]	https://www.youtube.com/watch?v=UUUO0dhWMbQ	2020-11-30	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	May 4, 2023 / Thursday Dawn / Numbers 22:21-35 / 'Balaam, Worse Than a Donkey' / Pastor Choi Myung-gil	https://www.youtube.com/watch?v=-hJ0HOFXpt4	2023-05-03	2026-06-05
	알럽바이블	KO	YOUTUBE	[Bible Story 055] David Against Goliath, CBS Bible Fairy Tale	https://www.youtube.com/watch?v=6zmdP598SMg	2022-07-13	2022-07-13
	감자공주의 동화나라	KO	YOUTUBE	[Potato Princess's Bible Story] David and Goliath	https://www.youtube.com/watch?v=_d7uKOi3IOg	2023-06-05	2023-06-05
	CBN KOREA SUPERBOOK	KO	YOUTUBE	Super Book | David and Goliath ★Check it out as a book too!★	https://www.youtube.com/watch?v=_EL-1J6O7b8	2021-09-10	2021-09-10
	Geethanjali Kids - Rhymes and Stories	EN	YOUTUBE	David and Goliath | Popular Bible Stories I Holy Tales - Children's Bible Stories |Animated Cartoons	https://www.youtube.com/watch?v=TSEkqCXNePM	2017-08-26	2017-08-26
	성경으로 읽는 세상	KO	YOUTUBE	[Bible Study] The Chilling Warning Cain, Humanity's First Murderer, Sends to Us in 2026	https://www.youtube.com/watch?v=HQuE-xDYVkQ	2026-02-14	2026-02-14
	조한뜻	KO	YOUTUBE	[My Beloved Bible 18] Rahab Who Was Saved	https://www.youtube.com/watch?v=UhbWk4M4x3M	2018-09-18	2018-09-18
	CGN KIDS	KO	YOUTUBE	[Old Testament] 41. Rahab @Duranno Story Bible Day 26	https://www.youtube.com/watch?v=O1hYxEtykjg	2017-06-30	2017-06-30
	Charity Baptist Church	KO	YOUTUBE	Did they fail to drive out the Canaanites, or did they not drive them out? (Judges 1:27), NIV, KRV, King James Bible Comparative Analysis Episode 5, Pastor Jeong Dong-soo	https://www.youtube.com/watch?v=HsMUQccZSb0	2025-06-04	2025-06-04
	MED BIBLE	KO	YOUTUBE	The Secret of the 7 Canaanite Tribes, Enemies of Israel!	https://www.youtube.com/watch?v=Yn3M_97Z3Z0	2025-11-11	2025-11-11
	초청교회	KO	YOUTUBE	[Biblical Geography] Understanding the Geographical Characteristics of Canaan [Bible Study Reading Project #26]	https://www.youtube.com/watch?v=pjMWkWHzr6A	2021-02-24	2021-02-24
	회개와천국복음[정보배]	KO	YOUTUBE	[Sunday Afternoon] What Is the Spiritual Significance of the Seven Canaanite Tribes We Must Drive Out? (Deuteronomy 7:1–5) _ Rev. Jeong Byeong-jin, Dongtan Myeongseong Church	https://www.youtube.com/watch?v=exPdGMhKD8U	2023-03-05	2023-03-05
	History with Cy	EN	YOUTUBE	The Concise History of Ancient Canaan and the Canaanite Peoples (c. 7000-539 BC)	https://www.youtube.com/watch?v=F6rs78Sovfc	2024-09-12	2024-09-12
	The Christian Channel	EN	YOUTUBE	The Origins of the Canaanites – And the Horrific Gods They Worshipped	https://www.youtube.com/watch?v=Wv5Ba8Ashpc	2025-06-11	2025-06-11
	Unraveling the Scriptures	EN	YOUTUBE	The Truth About Canaan in the Bible: Canaanites in Biblical Prophecies	https://www.youtube.com/watch?v=2_plLFVemvE	2025-02-20	2025-02-20
	The Inquisitive Bible Reader	EN	YOUTUBE	The Canaanites in History and the Bible	https://www.youtube.com/watch?v=ldCWtO8uNjs	2023-09-20	2023-09-20
	평화교회	KO	YOUTUBE	[A Spoonful of Bible Knowledge] Peter and the Regions (Bethsaida, Capernaum)	https://www.youtube.com/watch?v=kNxhH7lCjm0	2020-07-02	2020-07-02
	알럽바이블	KO	YOUTUBE	[Bible Story 071] Jonah Inside the Belly of the Fish, CBS Bible Story	https://www.youtube.com/watch?v=LRrQLvaA4hA	2022-11-02	2022-11-02
	김명석 목사 - 강릉 주의숲교회	KO	YOUTUBE	[Daily Bible Devotional] May 4 (Mon) Genesis 35:1-22	https://www.youtube.com/watch?v=eBKM2KaCCFU	2026-05-03	2026-05-21
	말씀 읽어주는목사	KO	YOUTUBE	Daily Bible [Leviticus 5:14 - 6:7] / Daily Bible Meditation / The Message Bible / Pastor Kim Ki-woong / Daily Reading	https://www.youtube.com/watch?v=G60wqkIHDy4	2022-03-06	2026-05-18
	김명석 목사 - 강릉 주의숲교회	KO	YOUTUBE	Daily Bible [Word Meditation QT #Lev] Leviticus 5:14–6:7	https://www.youtube.com/watch?v=Ea76PDOjQX0	2022-03-06	2026-05-18
	The Scripture Revival	EN	YOUTUBE	Leviticus 5 & 6: Guilt - Trespass Offering | Visual Bible | Lev 5: 14-19 & 6:1-7 | Forgiveness	https://www.youtube.com/watch?v=vsW6rgAvLxY	2023-06-03	2026-05-18
	East End church of Christ	EN	YOUTUBE	What Was the Trespass Offering That Was To Be Offered To God? [Leviticus 5:14-19][Lesson 14][WTTB]	https://www.youtube.com/watch?v=feOfaK1wk9s	2020-02-02	2026-05-18
	경향교회	KO	YOUTUBE	[Leviticus] 5. The Atonement Offering Chapter 5, 13–14	https://www.youtube.com/watch?v=ZJU53NyEFsw	2012-09-19	2026-05-18
	청파감리교회	KO	YOUTUBE	220401 (Fri) Leviticus 5:5-7	https://www.youtube.com/watch?v=jtrxYkh_dbk	2022-03-31	2026-05-18
	매일성경큐티하기	KO	YOUTUBE	Leviticus 5:1-13 Center of the Heart - Daily Bible Devotional Morning Sermon	https://www.youtube.com/watch?v=rE9nDg_hNN4	2022-03-05	2026-05-18
	The Scripture Revival	EN	YOUTUBE	Leviticus 5: Poor Man's Sin Offering | Visual Bible 4K (Lev: 1-13) | Sin Offering for the Commoners	https://www.youtube.com/watch?v=mtBCHNyMnHA	2023-05-16	2026-05-18
	Bible Study Journey: Understanding the Scriptures	EN	YOUTUBE	Leviticus Chapter 5 Explained (Biblical Justice, Guilt Offerings & Spiritual Responsibility)	https://www.youtube.com/watch?v=JsQ5BWkrkPY	2024-01-13	2026-05-18
	성경한장	KO	YOUTUBE	Leviticus Chapter 4 "Atonement Offering" One Bible Chapter	https://www.youtube.com/watch?v=alADJ3hNgCo	2021-09-28	2026-05-18
	SamilChurch삼일교회	KO	YOUTUBE	Leviticus 4:1-12 Samil Church	https://www.youtube.com/watch?v=mSI3JZ_Pmv8	2022-03-03	2026-05-18
	김명석 목사 - 강릉 주의숲교회	KO	YOUTUBE	Leviticus 4:1–21 Lord's Forest Church	https://www.youtube.com/watch?v=tINqnhHwhkk	2022-03-03	2026-05-18
	Nairobi spaces and rooms FINDER	EN	YOUTUBE	Leviticus 4: 1-35 Offerings for unintentional sins	https://www.youtube.com/watch?v=u-rluC2OFjs	2022-06-22	2026-05-18
