feed_url	site_name	lang	feed_kind	title	item_url	published	collected
	East End church of Christ	ZH	YOUTUBE	Quel pays fut donné à la tribu de Benjamin ? | Josué 18:1-28 | Leçon 23	https://www.youtube.com/watch?v=xzuS6MsjZV0	2023-05-03	2026-06-14
	The Covenant Churches NZ	ZH	YOUTUBE	De Ben-Oni à Benjamin : QT Sharing, 16 octobre 2022, Genèse 35:16-29	https://www.youtube.com/watch?v=lM70R5ntLv0	2022-10-15	2026-06-14
	알럽바이블	KO	YOUTUBE	[Histoire biblique 086] Les noces de Cana, récit biblique de CBS	https://www.youtube.com/watch?v=cFSRvPRva5Y	2023-01-11	2023-01-11
	다윗의시	KO	YOUTUBE	Méditation biblique sur le thème des louanges / Les noces de Cana Que le miracle commence | Les noces de Cana : L'eau changée en vin	https://www.youtube.com/watch?v=PPLzsmgEJ80	2026-04-12	2026-04-12
	John Hilton III	EN	YOUTUBE	Enseigner avec les élus : Jésus et les noces de Cana, Jean 2:1-11	https://www.youtube.com/watch?v=H3R0Mkx8rrc	2022-12-14	2022-12-14
	Animated Biblical Tales	EN	YOUTUBE	Jésus change l'eau en vin | Les noces de Cana | Animation IA	https://www.youtube.com/watch?v=n6LcOJM9llg	2025-06-26	2025-06-26
	Holy Landmarks	EN	YOUTUBE	Que signifie Cana dans la Bible ? | Lieux saints	https://www.youtube.com/watch?v=C7eSu-cxvq8	2025-08-19	2025-08-19
	Shamounian Explains	EN	YOUTUBE	La signification cachée des noces de Cana dans la Bible | Sam Shamoun	https://www.youtube.com/watch?v=oDD9j6y9JnU	2024-08-09	2024-08-09
	영광장로교회	KO	YOUTUBE	Onan a-t-il subi le jugement de Dieu pour s'être retiré ? (Genèse 38:8-9)	https://www.youtube.com/watch?v=8MteXKoIKXE	2023-01-11	2023-01-11
	베들레헴 떡집	KO	YOUTUBE	Explication de Genèse 54 - La mort d'Onan établie sur Terre	https://www.youtube.com/watch?v=syiepQpDCRQ	2021-06-26	2021-06-26
	The Bible Show	EN	YOUTUBE	Épisode 62. Genèse 38 : Juda et Tamar : Dieu rachète les plans pervers	https://www.youtube.com/watch?v=hXkB4ucoKtk	2025-08-20	2025-08-20
	Dan McClellan	EN	YOUTUBE	Pourquoi Dieu a-t-il tué Onan ?	https://www.youtube.com/watch?v=nnhcQJjHAQQ	2024-06-17	2024-06-17
	Dan McClellan	EN	YOUTUBE	Pourquoi Dieu a-t-il tué Onan ?	https://www.youtube.com/watch?v=JgNMdZnwl98	2023-04-21	2023-04-21
	Christianity Still Makes Sense	EN	YOUTUBE	218. Quel était le péché d'Onan ?	https://www.youtube.com/watch?v=xciPY-hR3QU	2013-02-13	2013-02-13
	성경김승호	KO	YOUTUBE	Genèse 38:2 Juda épousa la fille de Shua 2023 08 26 14 18 08	https://www.youtube.com/watch?v=55uQLk4n0lo	2023-08-26	2023-08-26
	정진용 목사의 말들아 - 말씀묵상 채널	KO	YOUTUBE	Nombres Chapitre 4 - L'attitude à adopter pour accomplir la mission et après	https://www.youtube.com/watch?v=V98yNjXlRw4	2022-05-29	2026-06-05
	와싱톤중앙장로교회	KO	YOUTUBE	Nombres 29:12-40 | Notre Père, riche en amour et en grâce | Rév. Han Jeong-min (16/05/2023)	https://www.youtube.com/watch?v=LPnKUAM8PQo	2023-05-16	2026-06-05
	광야교회 / 김 찬제 목사 / 강해설교	KO	YOUTUBE	Nombres 4:29–33 (Le sacerdoce des descendants de Merari)	https://www.youtube.com/watch?v=Ng7tJtLD9O4	2024-04-18	2026-06-05
	Sharon RP Church	EN	YOUTUBE	Nombres 4:29-33 Devoirs des fils de Merari	https://www.youtube.com/watch?v=vgdCdN4SKHw	2024-02-08	2026-06-05
	한남제일교회	KO	YOUTUBE	Sermon de 3 minutes | Nombres 21:4-9 « Le serpent de bronze » Rév. Chang-woo Oh, Église Hannam Jeil 220731	https://www.youtube.com/watch?v=EZT45MYqBgk	2022-08-06	2026-06-05
	새문안교회	KO	YOUTUBE	[Méditation sur les Nombres par le révérend Lee Sang-hak de l'Église Saemunan (25)] Quiconque est mordu et regarde la morsure vivra (Nombres 21:4-9)	https://www.youtube.com/watch?v=CVs0x9eRKfQ	2021-02-19	2026-06-05
	East End church of Christ	EN	YOUTUBE	Qui était responsable du service des Guershonites ? [Nombres 4:21-28][Leçon 17][WTTB]	https://www.youtube.com/watch?v=8YCsAXX0fGI	2020-11-29	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	6 janvier 2023 / Tôt le matin / Nombres 4:1-16 / « L'esprit du débutant » / Pasteur Geum Woon-seop	https://www.youtube.com/watch?v=S4gL2dMIvts	2023-01-05	2026-06-05
	매일성경 큐티 최신일 목사	KO	YOUTUBE	[#QuestionBibliqueDuJour] | 6 janvier (ven.) | #Nombres 4:1-33 « Le Saint Travail » [Partage biblique de 10 minutes]	https://www.youtube.com/watch?v=opiMON3Ccqs	2023-01-05	2026-06-05
	매일성경큐티하기	KO	YOUTUBE	Nombres 4:1-33, Ils mourront - #BibleDuJour #QT #SermonDuMatin	https://www.youtube.com/watch?v=J3m5Fzb053M	2023-01-04	2026-06-05
