feed_url	site_name	lang	feed_kind	title	item_url	published	collected
	East End church of Christ	ZH	YOUTUBE	ベニヤミン族に与えられた土地はどれか？ | ヨシュア記 18:1-28 | レッスン23	https://www.youtube.com/watch?v=xzuS6MsjZV0	2023-05-03	2026-06-14
	The Covenant Churches NZ	ZH	YOUTUBE	ベン・オニからベンジャミンへ：QTシェアリング、2022年10月16日、創世記35章16-29節	https://www.youtube.com/watch?v=lM70R5ntLv0	2022-10-15	2026-06-14
	알럽바이블	KO	YOUTUBE	[聖書物語086]ガーナでの結婚式、CBS聖書童話	https://www.youtube.com/watch?v=cFSRvPRva5Y	2023-01-11	2023-01-11
	다윗의시	KO	YOUTUBE	聖書の物語瞑想賞賛/ガーナ婚姻祭りLet the Miracle Begin | The Wedding at Cana: Water Turned into Wine	https://www.youtube.com/watch?v=PPLzsmgEJ80	2026-04-12	2026-04-12
	John Hilton III	EN	YOUTUBE	選ばれた者たちと共に教える：イエスとカナの婚礼、ヨハネによる福音書2章1-11節	https://www.youtube.com/watch?v=H3R0Mkx8rrc	2022-12-14	2022-12-14
	Animated Biblical Tales	EN	YOUTUBE	イエスが水をワインに変える｜カナの婚礼｜AIアニメーション	https://www.youtube.com/watch?v=n6LcOJM9llg	2025-06-26	2025-06-26
	Holy Landmarks	EN	YOUTUBE	聖書におけるカナの意味とは？｜聖地巡礼	https://www.youtube.com/watch?v=C7eSu-cxvq8	2025-08-19	2025-08-19
	Shamounian Explains	EN	YOUTUBE	聖書におけるカナの婚礼に隠された意味 | サム・シャムーン	https://www.youtube.com/watch?v=oDD9j6y9JnU	2024-08-09	2024-08-09
	영광장로교회	KO	YOUTUBE	オナンは膣外事情のために神様の裁きを受けたのだろうか。 （創世記38：8-9）	https://www.youtube.com/watch?v=8MteXKoIKXE	2023-01-11	2023-01-11
	베들레헴 떡집	KO	YOUTUBE	創世記強海54 - 地上に設定されたオナンの死	https://www.youtube.com/watch?v=syiepQpDCRQ	2021-06-26	2021-06-26
	The Bible Show	EN	YOUTUBE	第62話 創世記38章：ユダとタマル：神は邪悪な企みを贖う	https://www.youtube.com/watch?v=hXkB4ucoKtk	2025-08-20	2025-08-20
	Dan McClellan	EN	YOUTUBE	神はなぜオナンを殺したのか？	https://www.youtube.com/watch?v=nnhcQJjHAQQ	2024-06-17	2024-06-17
