feed_url	site_name	lang	feed_kind	title	item_url	published	collected
	East End church of Christ	ZH	YOUTUBE	Que terra foi dada à tribo de Benjamim? | Josué 18:1-28 | Lição 23	https://www.youtube.com/watch?v=xzuS6MsjZV0	2023-05-03	2026-06-14
	The Covenant Churches NZ	ZH	YOUTUBE	De Ben-Oni a Benjamim: Compartilhamento QT, 16 de outubro de 2022, Gênesis 35:16-29	https://www.youtube.com/watch?v=lM70R5ntLv0	2022-10-15	2026-06-14
	알럽바이블	KO	YOUTUBE	[História Bíblica 086] O Casamento em Caná, História Bíblica da CBS	https://www.youtube.com/watch?v=cFSRvPRva5Y	2023-01-11	2023-01-11
	다윗의시	KO	YOUTUBE	Meditação e Louvor da História Bíblica / O Casamento em Caná: Que o Milagre Comece | O Casamento em Caná: Água Transformada em Vinho	https://www.youtube.com/watch?v=PPLzsmgEJ80	2026-04-12	2026-04-12
	John Hilton III	EN	YOUTUBE	Ensinando com os Escolhidos: Jesus e as Bodas de Caná, João 2:1-11	https://www.youtube.com/watch?v=H3R0Mkx8rrc	2022-12-14	2022-12-14
	Animated Biblical Tales	EN	YOUTUBE	Jesus transforma água em vinho | Casamento em Caná | Animação com IA	https://www.youtube.com/watch?v=n6LcOJM9llg	2025-06-26	2025-06-26
	Holy Landmarks	EN	YOUTUBE	O que significa Caná na Bíblia? | Pontos Sagrados	https://www.youtube.com/watch?v=C7eSu-cxvq8	2025-08-19	2025-08-19
	Shamounian Explains	EN	YOUTUBE	O significado OCULTO por trás do casamento em Caná na Bíblia | Sam Shamoun	https://www.youtube.com/watch?v=oDD9j6y9JnU	2024-08-09	2024-08-09
	영광장로교회	KO	YOUTUBE	Será que Onã recebeu o julgamento de Deus por causa de sua desobediência? (Gênesis 38:8-9)	https://www.youtube.com/watch?v=8MteXKoIKXE	2023-01-11	2023-01-11
	베들레헴 떡집	KO	YOUTUBE	Exposição de Gênesis 54 - A morte de Onã estabelecida na Terra	https://www.youtube.com/watch?v=syiepQpDCRQ	2021-06-26	2021-06-26
	The Bible Show	EN	YOUTUBE	Episódio 62. Gênesis 38: Judá e Tamar: Deus Redime Planos Malignos	https://www.youtube.com/watch?v=hXkB4ucoKtk	2025-08-20	2025-08-20
	Dan McClellan	EN	YOUTUBE	Por que Deus matou Onã?	https://www.youtube.com/watch?v=nnhcQJjHAQQ	2024-06-17	2024-06-17
	Dan McClellan	EN	YOUTUBE	Por que Deus matou Onã?	https://www.youtube.com/watch?v=JgNMdZnwl98	2023-04-21	2023-04-21
	Christianity Still Makes Sense	EN	YOUTUBE	218. Qual foi o pecado de Onã?	https://www.youtube.com/watch?v=xciPY-hR3QU	2013-02-13	2013-02-13
	성경김승호	KO	YOUTUBE	Gênesis 38:2 Judá casou-se com a filha de Shua 2023 08 26 14 18 08	https://www.youtube.com/watch?v=55uQLk4n0lo	2023-08-26	2023-08-26
	정진용 목사의 말들아 - 말씀묵상 채널	KO	YOUTUBE	Números Capítulo 4 - A Atitude a Adotar ao Cumprir a Missão e Depois	https://www.youtube.com/watch?v=V98yNjXlRw4	2022-05-29	2026-06-05
	와싱톤중앙장로교회	KO	YOUTUBE	Números 29:12-40 | Nosso Pai, Rico em Amor e Graça | Rev. Han Jeong-min (16/05/2023)	https://www.youtube.com/watch?v=LPnKUAM8PQo	2023-05-16	2026-06-05
	광야교회 / 김 찬제 목사 / 강해설교	KO	YOUTUBE	Números 4:29–33 (O sacerdócio dos descendentes de Merari)	https://www.youtube.com/watch?v=Ng7tJtLD9O4	2024-04-18	2026-06-05
	Sharon RP Church	EN	YOUTUBE	Números 4:29-33 Deveres dos Filhos de Merari	https://www.youtube.com/watch?v=vgdCdN4SKHw	2024-02-08	2026-06-05
	한남제일교회	KO	YOUTUBE	Sermão de 3 minutos | Números 21:4-9 "A Serpente de Bronze" Rev. Chang-woo Oh, Igreja Hannam Jeil 220731	https://www.youtube.com/watch?v=EZT45MYqBgk	2022-08-06	2026-06-05
	새문안교회	KO	YOUTUBE	[Meditação sobre Números pelo Rev. Lee Sang-hak da Igreja Saemunan (25)] Todo aquele que for mordido e olhar para ele viverá (Números 21:4-9)	https://www.youtube.com/watch?v=CVs0x9eRKfQ	2021-02-19	2026-06-05
	East End church of Christ	EN	YOUTUBE	Quem supervisionava o serviço dos gersonitas? [Números 4:21-28][Lição 17][WTTB]	https://www.youtube.com/watch?v=8YCsAXX0fGI	2020-11-29	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	6 de janeiro de 2023 / Manhã Cedo / Números 4:1-16 / 'Mente de Principiante' / Pastor Geum Woon-seop	https://www.youtube.com/watch?v=S4gL2dMIvts	2023-01-05	2026-06-05
	매일성경 큐티 최신일 목사	KO	YOUTUBE	[#DailyBibleQT] | 6 de janeiro (sexta-feira) | #Números 4:1-33 "Trabalho Santo" [Compartilhamento Bíblico de 10 Minutos]	https://www.youtube.com/watch?v=opiMON3Ccqs	2023-01-05	2026-06-05
	매일성경큐티하기	KO	YOUTUBE	Números 4:1-33, Eles Morrerão - #BíbliaDiária #QT #SermãoDaManhã	https://www.youtube.com/watch?v=J3m5Fzb053M	2023-01-04	2026-06-05
	East End church of Christ	EN	YOUTUBE	Quem supervisionava o serviço dos meraritas? [Números 4:29-33][Lição 18][WTTB]	https://www.youtube.com/watch?v=UUUO0dhWMbQ	2020-11-30	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	4 de maio de 2023 / Quinta-feira da Aurora / Números 22:21-35 / 'Balaão, pior que um jumento' / Pastor Choi Myung-gil	https://www.youtube.com/watch?v=-hJ0HOFXpt4	2023-05-03	2026-06-05
	알럽바이블	KO	YOUTUBE	[História Bíblica 055] Davi contra Golias, Conto de Fadas Bíblico da CBS	https://www.youtube.com/watch?v=6zmdP598SMg	2022-07-13	2022-07-13
	감자공주의 동화나라	KO	YOUTUBE	[A História Bíblica da Princesa Batata] Davi e Golias	https://www.youtube.com/watch?v=_d7uKOi3IOg	2023-06-05	2023-06-05
	CBN KOREA SUPERBOOK	KO	YOUTUBE	Super Livro | Davi e Golias ★Confira também a versão impressa!★	https://www.youtube.com/watch?v=_EL-1J6O7b8	2021-09-10	2021-09-10
	Geethanjali Kids - Rhymes and Stories	EN	YOUTUBE	Davi e Golias | Histórias Bíblicas Populares | Contos Sagrados - Histórias Bíblicas Infantis | Desenhos Animados	https://www.youtube.com/watch?v=TSEkqCXNePM	2017-08-26	2017-08-26
	성경으로 읽는 세상	KO	YOUTUBE	[Estudo Bíblico] O Aviso Arrepiante que Caim, o Primeiro Assassino da Humanidade, nos Envia em 2026	https://www.youtube.com/watch?v=HQuE-xDYVkQ	2026-02-14	2026-02-14
	조한뜻	KO	YOUTUBE	[Minha Amada Bíblia 18] Raabe, que foi salva	https://www.youtube.com/watch?v=UhbWk4M4x3M	2018-09-18	2018-09-18
	CGN KIDS	KO	YOUTUBE	[Antigo Testamento] 41. Raabe @Duranno História Bíblica Dia 26	https://www.youtube.com/watch?v=O1hYxEtykjg	2017-06-30	2017-06-30
	Charity Baptist Church	KO	YOUTUBE	Será que eles deixaram de expulsar os cananeus, ou será que não os expulsaram de fato? (Juízes 1:27), NVI, KRV, Análise Comparativa da Bíblia do Rei Jaime, Episódio 5, Pastor Jeong Dong-soo	https://www.youtube.com/watch?v=HsMUQccZSb0	2025-06-04	2025-06-04
	MED BIBLE	KO	YOUTUBE	O Segredo das 7 Tribos Cananeias, Inimigas de Israel!	https://www.youtube.com/watch?v=Yn3M_97Z3Z0	2025-11-11	2025-11-11
	초청교회	KO	YOUTUBE	[Geografia Bíblica] Compreendendo as Características Geográficas de Canaã [Projeto de Leitura de Estudo Bíblico nº 26]	https://www.youtube.com/watch?v=pjMWkWHzr6A	2021-02-24	2021-02-24
	회개와천국복음[정보배]	KO	YOUTUBE	[Tarde de Domingo] Qual o Significado Espiritual das Sete Tribos Cananeias que Devemos Expulsar? (Deuteronômio 7:1-5) _ Rev. Jeong Byeong-jin, Igreja Dongtan Myeongseong	https://www.youtube.com/watch?v=exPdGMhKD8U	2023-03-05	2023-03-05
	History with Cy	EN	YOUTUBE	Breve História da Antiga Canaã e dos Povos Cananeus (c. 7000-539 a.C.)	https://www.youtube.com/watch?v=F6rs78Sovfc	2024-09-12	2024-09-12
	The Christian Channel	EN	YOUTUBE	As Origens dos Cananeus – E os Deuses Horríveis que Eles Adoravam	https://www.youtube.com/watch?v=Wv5Ba8Ashpc	2025-06-11	2025-06-11
	Unraveling the Scriptures	EN	YOUTUBE	A verdade sobre Canaã na Bíblia: os cananeus nas profecias bíblicas	https://www.youtube.com/watch?v=2_plLFVemvE	2025-02-20	2025-02-20
	The Inquisitive Bible Reader	EN	YOUTUBE	Os cananeus na história e na Bíblia	https://www.youtube.com/watch?v=ldCWtO8uNjs	2023-09-20	2023-09-20
	평화교회	KO	YOUTUBE	[Uma Dose de Conhecimento Bíblico] Pedro e as Regiões (Betsaida, Cafarnaum)	https://www.youtube.com/watch?v=kNxhH7lCjm0	2020-07-02	2020-07-02
	알럽바이블	KO	YOUTUBE	[História Bíblica 071] Jonas no Ventre do Peixe, História Bíblica da CBS	https://www.youtube.com/watch?v=LRrQLvaA4hA	2022-11-02	2022-11-02
