feed_url	site_name	lang	feed_kind	title	item_url	published	collected
	East End church of Christ	ZH	YOUTUBE	Какие земли были даны колену Вениамина? | Иисус Навин 18:1-28 | Урок 23	https://www.youtube.com/watch?v=xzuS6MsjZV0	2023-05-03	2026-06-14
	The Covenant Churches NZ	ZH	YOUTUBE	От Бен-Они до Бенджамина: QT Sharing, 16 октября 2022 г., Бытие 35:16-29	https://www.youtube.com/watch?v=lM70R5ntLv0	2022-10-15	2026-06-14
	알럽바이블	KO	YOUTUBE	[Библейская история 086] Свадьба в Кане, Библейская история CBS	https://www.youtube.com/watch?v=cFSRvPRva5Y	2023-01-11	2023-01-11
	다윗의시	KO	YOUTUBE	Библейская история: медитация и хвала / Свадьба в Кане: Пусть начнётся чудо | Свадьба в Кане: Вода превратилась в вино	https://www.youtube.com/watch?v=PPLzsmgEJ80	2026-04-12	2026-04-12
	John Hilton III	EN	YOUTUBE	Обучение избранных: Иисус и свадьба в Кане, Иоанн 2:1-11	https://www.youtube.com/watch?v=H3R0Mkx8rrc	2022-12-14	2022-12-14
	Animated Biblical Tales	EN	YOUTUBE	Иисус превращает воду в вино | Свадьба в Кане | Анимация с использованием ИИ	https://www.youtube.com/watch?v=n6LcOJM9llg	2025-06-26	2025-06-26
	Holy Landmarks	EN	YOUTUBE	Что означает Кана в Библии? | Святые достопримечательности	https://www.youtube.com/watch?v=C7eSu-cxvq8	2025-08-19	2025-08-19
	Shamounian Explains	EN	YOUTUBE	Скрытый смысл свадьбы в Кане в Библии | Сэм Шамун	https://www.youtube.com/watch?v=oDD9j6y9JnU	2024-08-09	2024-08-09
	영광장로교회	KO	YOUTUBE	Подвергся ли Онан Божьему суду за отстранение? (Бытие 38:8-9)	https://www.youtube.com/watch?v=8MteXKoIKXE	2023-01-11	2023-01-11
	베들레헴 떡집	KO	YOUTUBE	Толкование главы 54 Книги Бытия — Смерть Онана установлена на Земле	https://www.youtube.com/watch?v=syiepQpDCRQ	2021-06-26	2021-06-26
	The Bible Show	EN	YOUTUBE	Эпизод 62. Бытие 38: Иуда и Тамар: Бог искупает злые замыслы.	https://www.youtube.com/watch?v=hXkB4ucoKtk	2025-08-20	2025-08-20
	Dan McClellan	EN	YOUTUBE	Почему Бог убил Онана?	https://www.youtube.com/watch?v=nnhcQJjHAQQ	2024-06-17	2024-06-17
	Dan McClellan	EN	YOUTUBE	Почему Бог убил Онана?	https://www.youtube.com/watch?v=JgNMdZnwl98	2023-04-21	2023-04-21
	Christianity Still Makes Sense	EN	YOUTUBE	218. В чём заключался грех Онана?	https://www.youtube.com/watch?v=xciPY-hR3QU	2013-02-13	2013-02-13
	성경김승호	KO	YOUTUBE	Бытие 38:2 Иуда женился на дочери Шуа 2023 08 26 14 18 08	https://www.youtube.com/watch?v=55uQLk4n0lo	2023-08-26	2023-08-26
	정진용 목사의 말들아 - 말씀묵상 채널	KO	YOUTUBE	Глава 4 книги Чисел — Какое отношение следует проявлять при выполнении миссии и после нее	https://www.youtube.com/watch?v=V98yNjXlRw4	2022-05-29	2026-06-05
	와싱톤중앙장로교회	KO	YOUTUBE	Числа 29:12-40 | Отче наш, богатый любовью и благодатью | Преподобный Хан Чон-мин (16.05.2023)	https://www.youtube.com/watch?v=LPnKUAM8PQo	2023-05-16	2026-06-05
	광야교회 / 김 찬제 목사 / 강해설교	KO	YOUTUBE	Числа 4:29–33 (Священство потомков Мерари)	https://www.youtube.com/watch?v=Ng7tJtLD9O4	2024-04-18	2026-06-05
	Sharon RP Church	EN	YOUTUBE	Числа 4:29-33 Обязанности сыновей Мерари	https://www.youtube.com/watch?v=vgdCdN4SKHw	2024-02-08	2026-06-05
	한남제일교회	KO	YOUTUBE	3-минутная проповедь | Числа 21:4-9 «Бронзовый змей» Преподобный Чан-ву О, церковь Ханнам Чжейл 220731	https://www.youtube.com/watch?v=EZT45MYqBgk	2022-08-06	2026-06-05
	새문안교회	KO	YOUTUBE	[Размышление над Числами преподобного Ли Сан-хака из церкви Сэмюнан (25)] Всякий укушенный, кто посмотрит на это, останется жив (Числа 21:4-9)	https://www.youtube.com/watch?v=CVs0x9eRKfQ	2021-02-19	2026-06-05
	East End church of Christ	EN	YOUTUBE	Кто руководил служением гершонитов? [Числа 4:21-28][Урок 17][WTTB]	https://www.youtube.com/watch?v=8YCsAXX0fGI	2020-11-29	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	6 января 2023 г. / Раннее утро / Числа 4:1-16 / «Ум новичка» / Пастор Гым Вун-соп	https://www.youtube.com/watch?v=S4gL2dMIvts	2023-01-05	2026-06-05
	매일성경 큐티 최신일 목사	KO	YOUTUBE	[#DailyBibleQT] | 6 января (пт) | #Числа 4:1-33 «Святой труд» [10-минутное чтение Священного Писания]	https://www.youtube.com/watch?v=opiMON3Ccqs	2023-01-05	2026-06-05
	매일성경큐티하기	KO	YOUTUBE	Числа 4:1-33, Они умрут - #ЕжедневнаяБиблия #QT #УтренняяПроповедь	https://www.youtube.com/watch?v=J3m5Fzb053M	2023-01-04	2026-06-05
	East End church of Christ	EN	YOUTUBE	Кто руководил служением мераритов? [Числа 4:29-33][Урок 18][WTTB]	https://www.youtube.com/watch?v=UUUO0dhWMbQ	2020-11-30	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	4 мая 2023 г. / Четверг, рассвет / Числа 22:21-35 / «Валаам хуже осла» / Пастор Чой Мён-гиль	https://www.youtube.com/watch?v=-hJ0HOFXpt4	2023-05-03	2026-06-05
	알럽바이블	KO	YOUTUBE	[Библейская история 055] Давид против Голиафа, библейская сказка CBS	https://www.youtube.com/watch?v=6zmdP598SMg	2022-07-13	2022-07-13
	감자공주의 동화나라	KO	YOUTUBE	[Библейская история Картофельной Принцессы] Давид и Голиаф	https://www.youtube.com/watch?v=_d7uKOi3IOg	2023-06-05	2023-06-05
	CBN KOREA SUPERBOOK	KO	YOUTUBE	Суперкнига | Давид и Голиаф ★Посмотрите также в печатном виде!★	https://www.youtube.com/watch?v=_EL-1J6O7b8	2021-09-10	2021-09-10
	Geethanjali Kids - Rhymes and Stories	EN	YOUTUBE	Давид и Голиаф | Популярные библейские истории | Священные сказания - Библейские истории для детей | Мультфильмы	https://www.youtube.com/watch?v=TSEkqCXNePM	2017-08-26	2017-08-26
	성경으로 읽는 세상	KO	YOUTUBE	[Изучение Библии] Жуткое предупреждение, которое Каин, первый убийца человечества, посылает нам в 2026 году	https://www.youtube.com/watch?v=HQuE-xDYVkQ	2026-02-14	2026-02-14
	조한뜻	KO	YOUTUBE	[Моя Библия любви, глава 18] Раав, которая была спасена	https://www.youtube.com/watch?v=UhbWk4M4x3M	2018-09-18	2018-09-18
	CGN KIDS	KO	YOUTUBE	[Ветхий Завет] 41. Рахав @Duranno Story Bible День 26	https://www.youtube.com/watch?v=O1hYxEtykjg	2017-06-30	2017-06-30
	Charity Baptist Church	KO	YOUTUBE	Не удалось ли им изгнать хананеев, или же им это не удалось? (Судьи 1:27), NIV, KRV, Библия короля Якова. Сравнительный анализ, эпизод 5, пастор Чон Дон-су.	https://www.youtube.com/watch?v=HsMUQccZSb0	2025-06-04	2025-06-04
	MED BIBLE	KO	YOUTUBE	Тайна семи ханаанских колен, врагов Израиля!	https://www.youtube.com/watch?v=Yn3M_97Z3Z0	2025-11-11	2025-11-11
	초청교회	KO	YOUTUBE	[Библейская география] Понимание географических особенностей Ханаана [Проект по изучению Библии № 26]	https://www.youtube.com/watch?v=pjMWkWHzr6A	2021-02-24	2021-02-24
	회개와천국복음[정보배]	KO	YOUTUBE	[Воскресенье после обеда] Каково духовное значение семи ханаанских колен, которые мы должны изгнать? (Второзаконие 7:1–5) _ Преподобный Чон Бён-джин, церковь Донтан Мёнсон	https://www.youtube.com/watch?v=exPdGMhKD8U	2023-03-05	2023-03-05
