feed_url	site_name	lang	feed_kind	title	item_url	published	collected
	East End church of Christ	ZH	YOUTUBE	给便雅悯支派的土地是什么？| 约书亚记 18:1-28 | 第23课	https://www.youtube.com/watch?v=xzuS6MsjZV0	2023-05-03	2026-06-14
	The Covenant Churches NZ	ZH	YOUTUBE	从便俄尼到便雅悯 2022年10月16日QT分享 创世记 35:16-29	https://www.youtube.com/watch?v=lM70R5ntLv0	2022-10-15	2026-06-14
	알럽바이블	KO	YOUTUBE	【圣经故事 086】迦拿的婚宴，CBS 圣经故事	https://www.youtube.com/watch?v=cFSRvPRva5Y	2023-01-11	2023-01-11
	다윗의시	KO	YOUTUBE	圣经故事默想赞美 / 迦拿的婚宴 让奇迹开始 | 迦拿的婚宴：水变成酒	https://www.youtube.com/watch?v=PPLzsmgEJ80	2026-04-12	2026-04-12
	John Hilton III	EN	YOUTUBE	与被拣选者一同教导：耶稣与迦拿的婚宴，约翰福音 2:1-11	https://www.youtube.com/watch?v=H3R0Mkx8rrc	2022-12-14	2022-12-14
	Animated Biblical Tales	EN	YOUTUBE	耶稣将水变成酒 | 迦拿婚宴 | 人工智能动画	https://www.youtube.com/watch?v=n6LcOJM9llg	2025-06-26	2025-06-26
	Holy Landmarks	EN	YOUTUBE	圣经中迦拿的含义是什么？ | 圣地	https://www.youtube.com/watch?v=C7eSu-cxvq8	2025-08-19	2025-08-19
	Shamounian Explains	EN	YOUTUBE	圣经中迦拿婚宴的隐藏含义 | 山姆·沙蒙	https://www.youtube.com/watch?v=oDD9j6y9JnU	2024-08-09	2024-08-09
	영광장로교회	KO	YOUTUBE	俄南因离弃上帝而受到上帝的审判吗？（创世记 38:8-9）	https://www.youtube.com/watch?v=8MteXKoIKXE	2023-01-11	2023-01-11
	베들레헴 떡집	KO	YOUTUBE	创世记54章释义——俄南之死在地上确立	https://www.youtube.com/watch?v=syiepQpDCRQ	2021-06-26	2021-06-26
	The Bible Show	EN	YOUTUBE	第62集.创世记38章：犹大与他玛：上帝救赎邪恶的阴谋	https://www.youtube.com/watch?v=hXkB4ucoKtk	2025-08-20	2025-08-20
	Dan McClellan	EN	YOUTUBE	上帝为什么要杀死俄南？	https://www.youtube.com/watch?v=nnhcQJjHAQQ	2024-06-17	2024-06-17
	Dan McClellan	EN	YOUTUBE	上帝为何杀死俄南？	https://www.youtube.com/watch?v=JgNMdZnwl98	2023-04-21	2023-04-21
	Christianity Still Makes Sense	EN	YOUTUBE	218. 俄南犯了什么罪？	https://www.youtube.com/watch?v=xciPY-hR3QU	2013-02-13	2013-02-13
