feed_url	site_name	lang	feed_kind	title	item_url	published	collected
	East End church of Christ	ZH	YOUTUBE	給便雅憫支派的土地是什麼？ | 約書亞記 18:1-28 | 第23課	https://www.youtube.com/watch?v=xzuS6MsjZV0	2023-05-03	2026-06-14
	The Covenant Churches NZ	ZH	YOUTUBE	從便俄尼到便雅憫 2022年10月16日QT分享 創 35:16-29	https://www.youtube.com/watch?v=lM70R5ntLv0	2022-10-15	2026-06-14
	알럽바이블	KO	YOUTUBE	【聖經故事 086】迦拿的婚宴，CBS 聖經故事	https://www.youtube.com/watch?v=cFSRvPRva5Y	2023-01-11	2023-01-11
	다윗의시	KO	YOUTUBE	聖經故事默想讚美 / 迦拿的婚宴 讓奇蹟開始 | 迦拿的婚宴：水變成酒	https://www.youtube.com/watch?v=PPLzsmgEJ80	2026-04-12	2026-04-12
	John Hilton III	EN	YOUTUBE	與被揀選者一同教導：耶穌與迦拿的婚宴，約翰福音 2:1-11	https://www.youtube.com/watch?v=H3R0Mkx8rrc	2022-12-14	2022-12-14
	Animated Biblical Tales	EN	YOUTUBE	耶穌將水變成酒 | 迦拿婚宴 | 人工智慧動畫	https://www.youtube.com/watch?v=n6LcOJM9llg	2025-06-26	2025-06-26
	Holy Landmarks	EN	YOUTUBE	聖經中迦拿的意思是什麼？ | 聖地	https://www.youtube.com/watch?v=C7eSu-cxvq8	2025-08-19	2025-08-19
	Shamounian Explains	EN	YOUTUBE	聖經中迦拿婚宴的隱藏意義 | 山姆‧沙蒙	https://www.youtube.com/watch?v=oDD9j6y9JnU	2024-08-09	2024-08-09
	영광장로교회	KO	YOUTUBE	俄南因離棄上帝而受到上帝的審判嗎？ （創 38:8-9）	https://www.youtube.com/watch?v=8MteXKoIKXE	2023-01-11	2023-01-11
	베들레헴 떡집	KO	YOUTUBE	創世記54章釋義－俄南之死在地上確立	https://www.youtube.com/watch?v=syiepQpDCRQ	2021-06-26	2021-06-26
	The Bible Show	EN	YOUTUBE	第62集.創38章：猶大與他瑪：上帝救贖邪惡的陰謀	https://www.youtube.com/watch?v=hXkB4ucoKtk	2025-08-20	2025-08-20
	Dan McClellan	EN	YOUTUBE	上帝為什麼要殺死俄南？	https://www.youtube.com/watch?v=nnhcQJjHAQQ	2024-06-17	2024-06-17
	Dan McClellan	EN	YOUTUBE	上帝為何殺死俄南？	https://www.youtube.com/watch?v=JgNMdZnwl98	2023-04-21	2023-04-21
	Christianity Still Makes Sense	EN	YOUTUBE	218. 俄南犯了什麼罪？	https://www.youtube.com/watch?v=xciPY-hR3QU	2013-02-13	2013-02-13
	성경김승호	KO	YOUTUBE	創世記 38:2 猶大娶了書亞的女兒 2023年8月26日 14:18 08	https://www.youtube.com/watch?v=55uQLk4n0lo	2023-08-26	2023-08-26
	정진용 목사의 말들아 - 말씀묵상 채널	KO	YOUTUBE	《數字》第四章－完成使命時及之後應採取的態度	https://www.youtube.com/watch?v=V98yNjXlRw4	2022-05-29	2026-06-05
	와싱톤중앙장로교회	KO	YOUTUBE	民數記 29:12-40 | 我們在慈愛恩典中的天父 | 韓正民牧師 (2023年5月16日)	https://www.youtube.com/watch?v=LPnKUAM8PQo	2023-05-16	2026-06-05
	광야교회 / 김 찬제 목사 / 강해설교	KO	YOUTUBE	民數記 4:29-33（米拉利後裔的祭司職）	https://www.youtube.com/watch?v=Ng7tJtLD9O4	2024-04-18	2026-06-05
	Sharon RP Church	EN	YOUTUBE	民數記 4:29-33 米拉利子孫的職責	https://www.youtube.com/watch?v=vgdCdN4SKHw	2024-02-08	2026-06-05
	한남제일교회	KO	YOUTUBE	三分鐘講道 | 民數記 21:4-9 「銅蛇」 吳昌佑牧師，漢南第一教會 220731	https://www.youtube.com/watch?v=EZT45MYqBgk	2022-08-06	2026-06-05
	새문안교회	KO	YOUTUBE	【世宗教會李相學牧師《民數記默想》（25）】凡被咬的，只要仰望它，就必得活（民數記 21:4-9）	https://www.youtube.com/watch?v=CVs0x9eRKfQ	2021-02-19	2026-06-05
	East End church of Christ	EN	YOUTUBE	誰負責管理革順人的服事？ 【民數記 4:21-28】【第17課】【WTTB】	https://www.youtube.com/watch?v=8YCsAXX0fGI	2020-11-29	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	2023年1月6日 / 清晨 / 民數記 4:1-16 / 「初信之心」 / 金雲燮牧師	https://www.youtube.com/watch?v=S4gL2dMIvts	2023-01-05	2026-06-05
	매일성경 큐티 최신일 목사	KO	YOUTUBE	【每日聖經金句】| 1月6日（星期五）| 民數記 4:1-33 「聖潔的勞動」【10分鐘經文分享】	https://www.youtube.com/watch?v=opiMON3Ccqs	2023-01-05	2026-06-05
	매일성경큐티하기	KO	YOUTUBE	民 4:1-33，他們必死－#每日聖經 #QT #晨間講道	https://www.youtube.com/watch?v=J3m5Fzb053M	2023-01-04	2026-06-05
	East End church of Christ	EN	YOUTUBE	誰負責監督米拉利人的服事？ 【民數記 4:29-33】【第18課】【WTTB】	https://www.youtube.com/watch?v=UUUO0dhWMbQ	2020-11-30	2026-06-05
	SamilChurch삼일교회	KO	YOUTUBE	2023年5月4日 / 星期四黎明 / 民數記 22:21-35 / “巴蘭，比驢還不如” / 崔明吉牧師	https://www.youtube.com/watch?v=-hJ0HOFXpt4	2023-05-03	2026-06-05
	알럽바이블	KO	YOUTUBE	【聖經故事 055】大衛戰勝歌利亞，CBS 聖經故事	https://www.youtube.com/watch?v=6zmdP598SMg	2022-07-13	2022-07-13
	감자공주의 동화나라	KO	YOUTUBE	【馬鈴薯公主的聖經故事】大衛與歌利亞	https://www.youtube.com/watch?v=_d7uKOi3IOg	2023-06-05	2023-06-05
	CBN KOREA SUPERBOOK	KO	YOUTUBE	超級書 | 大衛與歌利亞 ★也來看看這本書吧！ ★	https://www.youtube.com/watch?v=_EL-1J6O7b8	2021-09-10	2021-09-10
	Geethanjali Kids - Rhymes and Stories	EN	YOUTUBE	大衛與歌利亞 | 熱門聖經故事 | 聖經故事 - 兒童聖經故事 | 動畫片	https://www.youtube.com/watch?v=TSEkqCXNePM	2017-08-26	2017-08-26
	성경으로 읽는 세상	KO	YOUTUBE	【聖經研讀】人類第一個殺人犯該隱在2026年向我們發出的令人不寒而慄的警告	https://www.youtube.com/watch?v=HQuE-xDYVkQ	2026-02-14	2026-02-14
	조한뜻	KO	YOUTUBE	【我所愛的聖經 18】得救的喇合	https://www.youtube.com/watch?v=UhbWk4M4x3M	2018-09-18	2018-09-18
	CGN KIDS	KO	YOUTUBE	【舊約】41. 喇合 @杜蘭諾故事聖經 第26天	https://www.youtube.com/watch?v=O1hYxEtykjg	2017-06-30	2017-06-30
	Charity Baptist Church	KO	YOUTUBE	他們究竟是沒能趕出迦南人，還是根本沒趕出他們？ （士 1:27），NIV、KRV、詹姆士國王欽定版聖經比較分析第五集，鄭東洙牧師	https://www.youtube.com/watch?v=HsMUQccZSb0	2025-06-04	2025-06-04
	MED BIBLE	KO	YOUTUBE	以色列的敵人－迦南七支派的秘密！	https://www.youtube.com/watch?v=Yn3M_97Z3Z0	2025-11-11	2025-11-11
	초청교회	KO	YOUTUBE	【聖經地理】了解迦南的地理特徵【聖經研讀計畫#26】	https://www.youtube.com/watch?v=pjMWkWHzr6A	2021-02-24	2021-02-24
	회개와천국복음[정보배]	KO	YOUTUBE	【星期日下午】我們必須趕出的七個迦南支派的屬靈意義是什麼？ （申 7:1-5）－鄭炳鎮牧師，東灘明城教會	https://www.youtube.com/watch?v=exPdGMhKD8U	2023-03-05	2023-03-05
	History with Cy	EN	YOUTUBE	古迦南及其人民簡史（約西元前7000-539年）	https://www.youtube.com/watch?v=F6rs78Sovfc	2024-09-12	2024-09-12
	The Christian Channel	EN	YOUTUBE	迦南人的起源——以及他們所崇拜的恐怖神祇	https://www.youtube.com/watch?v=Wv5Ba8Ashpc	2025-06-11	2025-06-11
	Unraveling the Scriptures	EN	YOUTUBE	聖經中關於迦南的真相：聖經預言中的迦南人	https://www.youtube.com/watch?v=2_plLFVemvE	2025-02-20	2025-02-20
	The Inquisitive Bible Reader	EN	YOUTUBE	歷史與聖經中的迦南人	https://www.youtube.com/watch?v=ldCWtO8uNjs	2023-09-20	2023-09-20
	평화교회	KO	YOUTUBE	【聖經知識小課堂】彼得與伯賽大、迦百農地區	https://www.youtube.com/watch?v=kNxhH7lCjm0	2020-07-02	2020-07-02
	알럽바이블	KO	YOUTUBE	【聖經故事 071】約拿在魚腹中，CBS 聖經故事	https://www.youtube.com/watch?v=LRrQLvaA4hA	2022-11-02	2022-11-02
	김명석 목사 - 강릉 주의숲교회	KO	YOUTUBE	【每日靈修】5月4日（星期一）創35:1-22	https://www.youtube.com/watch?v=eBKM2KaCCFU	2026-05-03	2026-05-21
	말씀 읽어주는목사	KO	YOUTUBE	每日讀經 [利 5:14 - 6:7] / 每日靈修 / 信息版聖經 / 金基雄牧師 / 每日閱讀	https://www.youtube.com/watch?v=G60wqkIHDy4	2022-03-06	2026-05-18
	김명석 목사 - 강릉 주의숲교회	KO	YOUTUBE	每日聖經【默想經文精選 #利未記】利未記 5:14–6:7	https://www.youtube.com/watch?v=Ea76PDOjQX0	2022-03-06	2026-05-18
	The Scripture Revival	EN	YOUTUBE	利未記5章和6章：贖罪祭 | 視覺聖經 | 利未記5:14-19 & 6:1-7 | 饒恕	https://www.youtube.com/watch?v=vsW6rgAvLxY	2023-06-03	2026-05-18
	East End church of Christ	EN	YOUTUBE	獻給神的贖罪祭是什麼？ 【利未記 5:14-19】第14課】	https://www.youtube.com/watch?v=feOfaK1wk9s	2020-02-02	2026-05-18
	경향교회	KO	YOUTUBE	【利未記】5. 贖罪祭 第5章，13-14節	https://www.youtube.com/watch?v=ZJU53NyEFsw	2012-09-19	2026-05-18
	청파감리교회	KO	YOUTUBE	220401（星期五）利未記 5:5-7	https://www.youtube.com/watch?v=jtrxYkh_dbk	2022-03-31	2026-05-18
	매일성경큐티하기	KO	YOUTUBE	利未記 5:1-13 心靈中心 - 每日靈修 清晨講道	https://www.youtube.com/watch?v=rE9nDg_hNN4	2022-03-05	2026-05-18
	The Scripture Revival	EN	YOUTUBE	利 5：窮人的贖罪祭 | 4K 高清聖經（利 1-13）| 平民的贖罪祭	https://www.youtube.com/watch?v=mtBCHNyMnHA	2023-05-16	2026-05-18
	Bible Study Journey: Understanding the Scriptures	EN	YOUTUBE	利未記第五章詳解（聖經中的公義、贖罪祭和屬靈責任）	https://www.youtube.com/watch?v=JsQ5BWkrkPY	2024-01-13	2026-05-18
	성경한장	KO	YOUTUBE	利未記第4章「贖罪祭」 聖經一章	https://www.youtube.com/watch?v=alADJ3hNgCo	2021-09-28	2026-05-18
	SamilChurch삼일교회	KO	YOUTUBE	利 4:1-12 撒米爾教會	https://www.youtube.com/watch?v=mSI3JZ_Pmv8	2022-03-03	2026-05-18
	김명석 목사 - 강릉 주의숲교회	KO	YOUTUBE	利 4:1-21 主森林教會	https://www.youtube.com/watch?v=tINqnhHwhkk	2022-03-03	2026-05-18
	Nairobi spaces and rooms FINDER	EN	YOUTUBE	利 4:1-35 為無意之罪獻祭	https://www.youtube.com/watch?v=u-rluC2OFjs	2022-06-22	2026-05-18
	성경한장	KO	YOUTUBE	利未記第3章「平安祭」—聖經一章	https://www.youtube.com/watch?v=dRT0MfuLSPI	2021-09-27	2026-05-18
	박성민목사의 매일큐티묵상	KO	YOUTUBE	利 3:1-17 平安祭的意義 - 樸成民牧師	https://www.youtube.com/watch?v=Nexjib9zYjE	2023-05-02	2026-05-18
	김명석 목사 - 강릉 주의숲교회	KO	YOUTUBE	利 3:1-17 - 主的森林教會	https://www.youtube.com/watch?v=GdJE8YemP5g	2022-03-02	2026-05-18
	PeaceTV	EN	YOUTUBE	利未記 3 章—平安祭的律法 | 聖經播客，大衛艾利，和平基督教會	https://www.youtube.com/watch?v=FFH7KuxF13M	2021-04-03	2026-05-18
	HebrewHollandClass	EN	YOUTUBE	利 3:1-17 平安祭的律法	https://www.youtube.com/watch?v=_8M7JEgzzM0	2018-08-13	2026-05-18
	100주년기념교회	KO	YOUTUBE	利 2:1-16 吳雄植 - 百年紀念教堂	https://www.youtube.com/watch?v=Frvnwh0tWms	2022-06-29	2026-05-18
	성경한장	KO	YOUTUBE	利未記第2章「磨碎的祭物」—聖經一章	https://www.youtube.com/watch?v=L8c8NMAPkxE	2021-09-13	2026-05-18
	김명석 목사 - 강릉 주의숲교회	KO	YOUTUBE	利 2:1-16 - 主的森林教會	https://www.youtube.com/watch?v=1jPHmvNNgaQ	2022-03-01	2026-05-18
	성경한장	KO	YOUTUBE	利未記第一章「燔祭」—聖經一章	https://www.youtube.com/watch?v=KpeJz3uOZRo	2021-09-07	2026-05-18
	매일성경큐티하기	KO	YOUTUBE	利 1:1-17 成為聖潔的活祭 - 每日靈修	https://www.youtube.com/watch?v=Aka7LpK8HUs	2022-02-28	2026-05-18
	김명석 목사 - 강릉 주의숲교회	KO	YOUTUBE	利 1:1-17 - 主的森林教會	https://www.youtube.com/watch?v=Osbh7IMhFH0	2022-02-28	2026-05-18
	동네형QT_생명의삶	KO	YOUTUBE	出埃及記 40:34–38 - 鄰舍弟兄 QT	https://www.youtube.com/watch?v=a9j7uqVOixU	2021-07-18	2026-05-18
